experiment,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20,time
K=1 layers,0.8123,0.9014,0.9565,0.4231,0.4027,0.4048,135.4s
K=2 layers,0.8006,0.9014,0.9544,0.4015,0.3834,0.3855,155.1s
K=3 layers,0.7837,0.8897,0.9459,0.3792,0.3626,0.3645,150.6s
K=4 layers,0.7646,0.8780,0.9427,0.3724,0.3533,0.3550,181.3s
dim=32,0.7561,0.8727,0.9385,0.3597,0.3435,0.3465,163.4s
dim=64,0.7858,0.8918,0.9449,0.3786,0.3612,0.3626,172.9s
dim=128,0.8006,0.9014,0.9544,0.4048,0.3875,0.3883,164.1s
combine=mean,0.7815,0.8855,0.9491,0.3811,0.3639,0.3654,154.5s
combine=weighted,0.7996,0.8950,0.9491,0.3857,0.3694,0.3725,165.1s
combine=last,0.6946,0.8218,0.9024,0.3145,0.2996,0.2983,151.9s
lr=0.0005,0.7190,0.8409,0.9226,0.3370,0.3207,0.3247,151.7s
lr=0.001,0.7784,0.8887,0.9480,0.3797,0.3626,0.3650,158.1s
lr=0.005,0.8314,0.9215,0.9608,0.4217,0.4016,0.4051,146.5s
